"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0009754","0","1","1","0"
"0009755","0","0","1","0"
"0009758","0","1","1","0"
"0009759","0","0","1","0"
"0009791","0","1","1","0"
"0009792","0","0","1","0"
"0009796","0","1","1","0"
"0009797","0","0","1","0"
"0009816","0","1","1","0"
"0009817","0","0","1","0"
"0009821","0","1","1","0"
"0009822","0","0","1","0"
"0009838","0","1","1","0"
"0009839","0","0","1","0"
"0009840","0","0","1","0"
"0009841","0","1","1","0"
"0009842","0","0","1","0"
"0009846","0","1","1","0"
"0009847","0","0","1","0"
"0009861","0","1","1","0"
"0009862","0","1","1","0"
"0009863","0","0","1","0"
"0010494","0","1","1","0"
"0010495","0","0","1","0"
"0010580","0","1","1","0"
"0010581","0","0","1","0"
"0010644","0","1","1","0"
"0010645","0","0","1","0"
"0010702","0","1","1","0"
"0010703","0","0","1","0"
"0010760","0","1","1","0"
"0010761","0","0","1","0"
"0010778","0","1","1","0"
"0010779","0","0","1","0"
"0011330","0","1","1","0"
"0011331","0","0","1","0"
"0011374","0","1","1","0"
"0011375","0","0","1","0"
"0011376","0","0","1","0"
"0011377","0","1","1","0"
"0011378","0","0","1","0"
"0011382","0","1","1","0"
"0011383","0","0","1","0"
"0011407","0","1","1","0"
"0011408","0","0","1","0"
"0011449","0","1","1","0"
"0011450","0","0","1","0"
"0011474","0","1","1","0"
"0011475","0","0","1","0"
"0011590","0","1","1","0"
"0011591","0","0","1","0"
"0011592","0","0","1","0"
"0011593","0","1","1","0"
"0011594","0","0","1","0"
"0011605","0","1","1","0"
"0011606","0","0","1","0"
"0011607","0","0","1","0"
"0011608","0","1","1","0"
"0011609","0","0","1","0"
"0011616","0","1","1","0"
"0011617","0","0","1","0"
"0011656","0","1","1","0"
"0011657","0","0","1","0"
"0011665","0","1","1","0"
"0011666","0","0","1","0"
"0011667","0","0","1","0"
"0011668","0","1","1","0"
"0011669","0","0","1","0"
"0011673","0","1","1","0"
"0011674","0","0","1","0"
"0011693","0","1","1","0"
"0011694","0","0","1","0"
"0011698","0","1","1","0"
"0011699","0","0","1","0"
"0011710","0","1","1","0"
"0011711","0","0","1","0"
"0011715","0","1","1","0"
"0011716","0","0","1","0"
"0011756","0","1","1","0"
"0011757","0","1","1","0"
"0011758","0","0","1","0"
"0011768","0","1","1","0"
"0011769","0","0","1","0"
"0011773","0","1","1","0"
"0011774","0","0","1","0"
"0011775","0","0","1","0"
"0011776","0","1","1","0"
"0011777","0","1","1","0"
