"SamplePeriod","TriggerSample","CompressedData"
"0.000000005","3293612405","True"
"SampleNumber","CS_A","CS_B","SCK_A","MOSI_A","MISO_B","MISO_A","SCK_B","MOSI_B"
"1738309555","0","0","0","1","0","0","0","1"
"1738309556","0","1","0","1","0","0","0","1"
"1738309559","0","0","0","1","0","0","0","1"
"1738309560","0","0","0","1","0","0","0","1"
"1738309561","0","1","0","1","0","0","0","1"
"1738309562","1","1","0","1","0","0","0","1"
"1738309563","1","1","0","1","0","0","1","1"
"1738309564","0","0","0","1","0","0","1","1"
"1738309565","0","0","0","0","0","0","0","1"
"1738309566","0","0","0","1","0","0","0","1"
"1738309567","0","1","0","1","0","0","0","1"
"1738309570","0","0","0","1","0","0","0","1"
"1738309571","0","0","0","1","0","0","0","1"
"1738309572","0","1","0","1","0","0","0","1"
"1738309573","1","1","0","1","0","0","0","1"
"1738309574","1","1","0","1","0","0","1","1"
"1738309575","0","0","0","1","0","0","1","1"
"1738309576","0","0","0","0","0","0","0","1"
"1738309577","0","0","0","1","0","0","0","1"
"1738309578","0","1","0","1","0","0","0","1"
"1738309581","0","0","0","1","0","0","0","1"
"1738309582","0","0","0","1","0","0","0","1"
"1738309583","0","1","0","1","0","0","0","1"
"1738309584","1","1","0","1","0","0","0","1"
"1738309585","1","1","0","1","0","0","1","1"
"1738309586","0","0","0","1","0","0","1","1"
"1738309587","0","0","0","0","0","0","0","1"
"1738309588","0","0","0","1","0","0","0","1"
"1738309589","0","1","0","1","0","0","0","1"
"1738309590","0","1","0","1","0","0","0","1"
"1738309591","0","1","0","1","0","0","1","1"
"1738309592","0","0","0","1","0","0","0","1"
"1738309593","0","0","0","1","0","0","0","1"
"1738309594","0","1","0","1","0","0","0","1"
"1738309595","1","1","0","1","0","0","0","1"
"1738309596","1","1","0","1","0","0","1","1"
"1738309597","0","0","0","1","0","0","1","1"
"1738309598","0","0","0","0","0","0","0","1"
"1738309599","0","0","0","1","0","0","0","1"
"1738309600","0","1","0","1","0","0","0","1"
"1738309601","0","1","0","1","0","0","0","1"
"1738309602","0","1","0","1","0","0","1","1"
"1738309603","0","0","0","1","0","0","0","1"
"1738309604","0","0","0","1","0","0","0","1"
"1738309605","0","1","0","1","0","0","0","1"
"1738309606","1","1","0","1","0","0","0","1"
"1738309607","1","1","0","1","0","0","1","1"
"1738309608","0","1","0","1","0","0","1","1"
"1738309609","0","0","0","0","0","0","0","1"
"1738309610","0","0","0","1","0","0","0","1"
"1738309611","0","1","0","1","0","0","0","1"
"1738309612","1","1","0","1","0","0","0","1"
"1738309613","0","1","0","1","0","0","1","1"
"1738309614","0","0","0","1","0","0","0","1"
"1738309615","0","0","0","1","0","0","0","1"
"1738309616","0","1","0","1","0","0","0","1"
"1738309617","1","1","0","1","0","0","0","1"
"1738309618","1","1","0","1","0","0","1","1"
"1738309619","0","1","0","1","0","0","1","1"
"1738309620","0","0","0","0","0","0","0","1"
"1738309621","0","0","0","1","0","0","0","1"
"1738309622","0","1","0","1","0","0","0","1"
"1738309623","1","1","0","1","0","0","0","1"
"1738309624","0","1","0","1","0","0","1","1"
"1738309625","0","0","0","1","0","0","0","1"
"1738309626","0","0","0","1","0","0","0","1"
"1738309627","0","1","0","1","0","0","0","1"
"1738309628","1","1","0","1","0","0","0","1"
"1738309629","1","1","0","1","0","0","1","1"
"1738309630","0","1","0","1","0","0","1","1"
"1738309631","0","0","0","0","0","0","0","1"
"1738309632","0","0","0","1","0","0","0","1"
"1738309633","0","1","0","1","0","0","0","1"
"1738309634","1","1","0","1","0","0","0","1"
"1738309635","0","1","0","1","0","0","1","1"
"1738309636","0","0","0","1","0","0","0","1"
"1738309637","0","0","0","1","0","0","0","1"
"1738309638","0","1","0","1","0","0","0","1"
"1738309639","1","1","0","1","0","0","0","1"
"1738309640","1","1","0","1","0","0","1","1"
"1738309641","0","1","0","1","0","0","1","1"
"1738309642","0","0","0","0","0","0","0","1"
"1738309643","0","0","0","1","0","0","0","1"
"1738309644","0","1","0","1","0","0","0","1"
"1738309645","1","1","0","1","0","0","0","1"
"1738309646","0","1","0","1","0","0","1","1"
"1738309647","0","0","0","1","0","0","0","1"
"1738309648","0","0","0","1","0","0","0","1"
"1738309649","0","1","0","1","0","0","0","1"
"1738309650","1","1","0","1","0","0","0","1"
"1738309651","1","1","0","1","0","0","1","1"
"1738309652","0","1","0","1","0","0","1","1"
"1738309653","0","0","0","0","0","0","0","1"
"1738309654","0","0","0","1","0","0","0","1"
"1738309655","0","1","0","1","0","0","0","1"
"1738309656","1","1","0","1","0","0","0","1"
"1738309657","0","1","0","1","0","0","1","1"
"1738309658","0","0","0","1","0","0","0","1"
"1738309659","0","0","0","1","0","0","0","1"
"1738309660","0","1","0","1","0","0","0","1"
"1738309661","1","1","0","1","0","0","0","1"
"1738309662","1","1","0","1","0","0","1","1"
"1738309663","0","1","0","1","0","0","1","1"
"1738309664","0","0","0","0","0","0","0","1"
"1738309665","0","0","0","1","0","0","0","1"
"1738309666","0","1","0","1","0","0","0","1"
"1738309667","1","1","0","1","0","0","0","1"
"1738309668","0","1","0","1","0","0","1","1"
"1738309669","0","0","0","1","0","0","0","1"
"1738309670","0","0","0","1","0","0","0","1"
"1738309671","0","1","0","1","0","0","0","1"
"1738309672","1","1","0","1","0","0","0","1"
"1738309673","1","1","0","1","0","0","1","1"
"1738309674","0","1","0","1","0","0","1","1"
"1738309675","0","0","0","0","0","0","0","1"
"1738309676","0","0","0","1","0","0","0","1"
"1738309677","0","1","0","1","0","0","0","1"
"1738309678","1","1","0","1","0","0","0","1"
"1738309679","0","1","0","1","0","0","1","1"
"1738309680","0","0","0","1","0","0","0","1"
"1738309681","0","0","0","1","0","0","0","1"
"1738309682","0","1","0","1","0","0","0","1"
"1738309683","1","1","0","1","0","0","0","1"
"1738309684","1","1","0","1","0","0","1","1"
"1738309685","0","1","0","1","0","0","1","1"
"1738309686","0","0","0","0","0","0","0","1"
"1738309687","0","0","0","1","0","0","0","1"
"1738309688","0","1","0","1","0","0","0","1"
"1738309689","1","1","0","1","0","0","0","1"
"1738309690","0","1","0","1","0","0","1","1"
"1738309691","0","0","0","1","0","0","0","1"
"1738309692","0","0","0","1","0","0","0","1"
"1738309693","0","1","0","1","0","0","0","1"
"1738309694","1","1","0","1","0","0","0","1"
"1738309695","1","1","0","1","0","0","1","1"
"1738309696","0","1","0","1","0","0","1","1"
"1738309697","0","0","0","0","0","0","0","1"
"1738309698","0","0","0","1","0","0","0","1"
"1738309699","0","1","0","1","0","0","0","1"
"1738309700","1","1","0","1","0","0","0","1"
"1738309701","0","1","0","1","0","0","1","1"
"1738309702","0","0","0","1","0","0","0","1"
"1738309703","0","0","0","1","0","0","0","1"
"1738309704","0","1","0","1","0","0","0","1"
"1738309705","1","1","0","1","0","0","0","1"
"1738309706","1","1","0","1","0","0","1","1"
"1738309707","0","1","0","1","0","0","1","1"
"1738309708","0","0","0","0","0","0","0","1"
"1738309709","0","0","0","1","0","0","0","1"
"1738309710","0","1","0","1","0","0","0","1"
"1738309711","1","1","0","1","0","0","0","1"
"1738309712","0","1","0","1","0","0","1","1"
"1738309713","0","0","0","1","0","0","0","1"
"1738309714","0","0","0","1","0","0","0","1"
"1738309715","0","1","0","1","0","0","0","1"
"1738309716","1","1","0","1","0","0","0","1"
"1738309717","1","1","0","1","0","0","1","1"
"1738309718","0","1","0","1","0","0","1","1"
"1738309719","0","0","0","0","0","0","0","1"
"1738309720","0","0","0","1","0","0","0","1"
"1738309721","0","1","0","1","0","0","0","1"
"1738309722","1","1","0","1","0","0","0","1"
"1738309723","0","1","0","1","0","0","1","1"
"1738309724","0","0","0","1","0","0","0","1"
"1738309725","0","0","0","1","0","0","0","1"
"1738309726","0","1","0","1","0","0","0","1"
"1738309727","1","1","0","1","0","0","0","1"
"1738309728","1","1","0","1","0","0","1","1"
"1738309729","0","1","0","1","0","0","1","1"
"1738309730","0","0","0","0","0","0","0","1"
"1738309731","0","0","0","1","0","0","0","1"
"1738309732","0","1","0","1","0","0","0","1"
"1738309733","1","1","0","1","0","0","0","1"
"1738309734","0","1","0","1","0","0","1","1"
"1738309735","0","0","0","1","0","0","0","1"
"1738309736","0","0","0","1","0","0","0","1"
"1738309737","0","1","0","1","0","0","0","1"
"1738309738","1","1","0","1","0","0","0","1"
"1738309739","1","1","0","1","0","0","1","1"
"1738309740","0","1","0","1","0","0","1","1"
"1738309741","0","0","0","0","0","0","0","1"
"1738309742","0","0","0","1","0","0","0","1"
"1738309743","0","1","0","1","0","0","0","1"
"1738309744","1","1","0","1","0","0","0","1"
"1738309745","0","1","0","1","0","0","1","1"
"1738309746","0","0","0","1","0","0","0","1"
"1738309747","0","0","0","1","0","0","0","1"
"1738309748","0","1","0","1","0","0","0","1"
"1738309749","1","1","0","1","0","0","0","1"
"1738309750","1","1","0","1","0","0","1","1"
"1738309751","0","1","0","1","0","0","1","1"
"1738309752","0","0","0","0","0","0","0","1"
"1738309753","0","0","0","1","0","0","0","1"
"1738309754","0","1","0","1","0","0","0","1"
"1738309755","1","1","0","1","0","0","0","1"
"1738309756","0","1","0","1","0","0","1","1"
"1738309757","0","0","0","1","0","0","0","1"
"1738309758","0","0","0","1","0","0","0","1"
"1738309759","0","1","0","1","0","0","0","1"
"1738309760","1","1","0","1","0","0","0","1"
"1738309761","1","1","0","1","0","0","1","1"
"1738309762","0","1","0","1","0","0","1","1"
"1738309763","0","0","0","0","0","0","0","1"
"1738309764","0","0","0","1","0","0","0","1"
"1738309765","0","1","0","1","0","0","0","1"
"1738309766","1","1","0","1","0","0","0","1"
"1738309767","0","1","0","1","0","0","1","1"
"1738309768","0","0","0","1","0","0","0","1"
"1738309769","0","0","0","1","0","0","0","1"
"1738309770","0","1","0","1","0","0","0","1"
"1738309771","1","1","0","1","0","0","0","1"
"1738309772","1","1","0","1","0","0","1","1"
"1738309773","0","1","0","1","0","0","1","1"
"1738309774","0","0","0","0","0","0","0","1"
"1738309775","0","0","0","1","0","0","0","1"
"1738309776","0","1","0","1","0","0","0","1"
"1738309777","1","1","0","1","0","0","0","1"
"1738309778","0","1","0","1","0","0","1","1"
"1738309779","0","0","0","1","0","0","0","1"
"1738309780","0","0","0","1","0","0","0","1"
"1738309781","0","1","0","1","0","0","0","1"
"1738309782","1","1","0","1","0","0","0","1"
"1738309783","1","1","0","1","0","0","1","1"
"1738309784","0","1","0","1","0","0","1","1"
"1738309785","0","0","0","0","0","0","0","1"
"1738309786","0","0","0","1","0","0","0","1"
"1738309787","0","1","0","1","0","0","0","1"
"1738309788","1","1","0","1","0","0","0","1"
"1738309789","0","1","0","1","0","0","1","1"
"1738309790","0","0","0","1","0","0","0","1"
"1738309791","0","0","0","1","0","0","0","1"
"1738309792","0","1","0","1","0","0","0","1"
"1738309793","1","1","0","1","0","0","0","1"
"1738309794","1","1","0","1","0","0","1","1"
"1738309795","0","1","0","1","0","0","1","1"
"1738309796","0","0","0","0","0","0","0","1"
"1738309797","0","0","0","1","0","0","0","1"
"1738309798","0","1","0","1","0","0","0","1"
"1738309799","1","1","0","1","0","0","0","1"
"1738309800","0","1","0","1","0","0","1","1"
"1738309801","0","0","0","1","0","0","0","1"
"1738309802","0","0","0","1","0","0","0","1"
"1738309803","0","1","0","1","0","0","0","1"
"1738309804","1","1","0","1","0","0","0","1"
"1738309805","1","1","0","1","0","0","1","1"
"1738309806","0","1","0","1","0","0","1","1"
"1738309807","0","0","0","1","0","0","0","1"
"1738309808","0","0","0","1","0","0","0","1"
"1738309809","0","1","0","1","0","0","0","1"
"1738309810","1","1","0","1","0","0","0","1"
"1738309811","0","1","0","1","0","0","1","1"
"1738309812","0","0","0","1","0","0","0","1"
"1738309813","0","0","0","1","0","0","0","1"
"1738309814","0","1","0","1","0","0","0","1"
"1738309815","1","1","0","1","0","0","0","1"
"1738309816","1","1","0","1","0","0","1","1"
"1738309817","0","1","0","1","0","0","1","1"
"1738309818","0","0","0","1","0","0","0","1"
"1738309819","0","0","0","1","0","0","0","1"
"1738309820","0","1","0","1","0","0","0","1"
"1738309821","1","1","0","1","0","0","0","1"
"1738309822","0","1","0","1","0","0","1","1"
"1738309823","0","0","0","1","0","0","0","1"
"1738309824","0","0","0","1","0","0","0","1"
"1738309825","0","1","0","1","0","0","0","1"
"1738309826","1","1","0","1","0","0","0","1"
"1738309827","1","1","0","1","0","0","1","1"
"1738309828","0","1","0","1","0","0","1","1"
"1738309829","0","0","0","1","0","0","0","1"
"1738309830","0","0","0","1","0","0","0","1"
"1738309831","0","1","0","1","0","0","0","1"
"1738309832","1","1","0","1","0","0","0","1"
"1738309833","0","1","0","1","0","0","1","1"
"1738309834","0","0","0","1","0","0","1","1"
"1738309835","0","0","0","1","0","0","0","1"
"1738309836","0","1","0","1","0","0","0","1"
"1738309837","1","1","0","1","0","0","0","1"
"1738309838","1","1","0","1","0","0","0","1"
"1738309839","0","1","0","1","0","0","0","1"
"1738309840","0","0","0","1","0","0","0","1"
"1738309841","0","0","0","1","0","0","0","1"
"1738309842","0","1","0","1","0","0","0","1"
"1738309843","1","1","0","1","0","0","0","1"
"1738309844","0","1","0","1","0","0","1","1"
"1738309845","0","0","0","1","0","0","1","1"
"1738309846","0","0","0","1","0","0","0","1"
"1738309847","0","1","0","1","0","0","0","1"
"1738309848","1","1","0","1","0","0","0","1"
"1738309849","1","1","0","1","0","0","1","1"
"1738309850","0","1","0","1","0","0","1","1"
"1738309851","0","0","0","1","0","0","0","1"
"1738309852","0","0","0","1","0","0","0","1"
"1738309853","0","1","0","1","0","0","0","1"
"1738309854","1","1","0","1","0","0","0","1"
"1738309855","0","1","0","1","0","0","1","1"
"1738309856","0","0","0","1","0","0","1","1"
"1738309857","0","0","0","1","0","0","0","1"
"1738309858","0","1","0","1","0","0","0","1"
"1738309859","1","1","0","1","0","0","0","1"
"1738309860","1","1","0","1","0","0","1","1"
"1738309861","0","1","0","1","0","0","1","1"
"1738309862","0","0","0","1","0","0","0","1"
"1738309863","0","0","0","1","0","0","0","1"
"1738309864","0","1","0","1","0","0","0","1"
"1738309865","1","1","0","1","0","0","0","1"
"1738309866","1","1","0","1","0","0","1","1"
"1738309867","0","0","0","1","0","0","1","1"
"1738309868","0","0","0","1","0","0","0","1"
"1738309869","0","1","0","1","0","0","0","1"
"1738309870","1","1","0","1","0","0","0","1"
"1738309871","1","1","0","1","0","0","0","1"
"1738309872","0","1","0","1","0","0","0","1"
"1738309873","0","0","0","1","0","0","0","1"
"1738309874","0","0","0","1","0","0","0","1"
"1738309875","0","1","0","1","0","0","0","1"
"1738309876","1","1","0","1","0","0","0","1"
"1738309877","1","1","0","1","0","0","1","1"
"1738309878","0","0","0","1","0","0","1","1"
"1738309879","0","0","0","0","0","0","0","1"
"1738309880","0","0","0","1","0","0","0","1"
"1738309881","1","1","0","1","0","0","0","1"
"1738309882","1","1","0","1","0","0","0","1"
"1738309883","0","1","0","1","0","0","0","1"
"1738309884","0","0","0","1","0","0","0","1"
"1738309885","0","0","0","1","0","0","0","1"
"1738309886","0","1","0","1","0","0","0","1"
"1738309887","1","1","0","1","0","0","0","1"
"1738309888","1","1","0","1","0","0","1","1"
"1738309889","0","0","0","1","0","0","1","1"
"1738309890","0","0","0","0","0","0","0","1"
"1738309891","0","0","0","1","0","0","0","1"
"1738309892","1","1","0","1","0","0","0","1"
"1738309893","1","1","0","1","0","0","0","1"
"1738309894","0","1","0","1","0","0","0","1"
"1738309895","0","0","0","1","0","0","0","1"
"1738309896","0","0","0","1","0","0","0","1"
"1738309897","0","1","0","1","0","0","0","1"
"1738309898","1","1","0","1","0","0","0","1"
"1738309899","1","1","0","1","0","0","1","1"
"1738309900","0","0","0","1","0","0","1","1"
"1738309901","0","0","0","0","0","0","0","1"
"1738309902","0","0","0","1","0","0","0","1"
"1738309903","1","1","0","1","0","0","0","1"
"1738309904","1","1","0","1","0","0","0","1"
"1738309905","0","1","0","1","0","0","0","1"
"1738309906","0","0","0","1","0","0","0","1"
"1738309907","0","0","0","1","0","0","0","1"
"1738309908","0","1","0","1","0","0","0","1"
"1738309909","1","1","0","1","0","0","0","1"
"1738309910","1","1","0","1","0","0","1","1"
"1738309911","0","0","0","1","0","0","1","1"
"1738309912","0","0","0","0","0","0","0","1"
"1738309913","0","0","0","1","0","0","0","1"
"1738309914","0","1","0","1","0","0","0","1"
"1738309917","0","0","0","1","0","0","0","1"
"1738309918","0","0","0","1","0","0","0","1"
"1738309919","0","1","0","1","0","0","0","1"
"1738309920","1","1","0","1","0","0","0","1"
"1738309921","1","1","0","1","0","0","1","1"
"1738309922","0","0","0","1","0","0","1","1"
"1738309923","0","0","0","0","0","0","0","1"
"1738309924","0","0","0","1","0","0","0","1"
"1738309925","0","1","0","1","0","0","0","1"
"1738309928","0","0","0","1","0","0","0","1"
"1738309929","0","0","0","1","0","0","0","1"
"1738309930","0","1","0","1","0","0","0","1"
"1738309931","1","1","0","1","0","0","0","1"
"1738309932","1","1","0","1","0","0","1","1"
"1738309933","0","0","0","1","0","0","1","1"
"1738309934","0","0","0","0","0","0","0","1"
"1738309935","0","0","0","1","0","0","0","1"
"1738309936","0","1","0","1","0","0","0","1"
"1738309939","0","0","0","1","0","0","0","1"
"1738309940","0","0","0","1","0","0","0","1"
"1738309941","0","1","0","1","0","0","0","1"
"1738309942","1","1","0","1","0","0","0","1"
"1738309943","1","1","0","1","0","0","1","1"
"1738309944","0","0","0","1","0","0","1","1"
"1738309945","0","0","0","0","0","0","0","1"
"1738309946","0","0","0","1","0","0","0","1"
"1738309947","0","1","0","1","0","0","0","1"
"1738309950","0","0","0","1","0","0","0","1"
"1738309951","0","0","0","1","0","0","0","1"
"1738309952","0","1","0","1","0","0","0","1"
"1738309953","1","1","0","1","0","0","0","1"
"1738309954","1","1","0","1","0","0","1","1"
"1738309955","0","0","0","1","0","0","1","1"
"1738309956","0","0","0","0","0","0","0","1"
"1738309957","0","0","0","1","0","0","0","1"
"1738309958","0","1","0","1","0","0","0","1"
"1738309961","0","0","0","1","0","0","0","1"
"1738309962","0","0","0","1","0","0","0","1"
"1738309963","0","1","0","1","0","0","0","1"
"1738309964","1","1","0","1","0","0","0","1"
"1738309965","1","1","0","1","0","0","1","1"
"1738309966","0","0","0","1","0","0","1","1"
"1738309967","0","0","0","0","0","0","0","1"
"1738309968","0","0","0","1","0","0","0","1"
"1738309969","0","1","0","1","0","0","0","1"
"1738309972","0","0","0","1","0","0","0","1"
"1738309973","0","0","0","1","0","0","0","1"
"1738309974","0","1","0","1","0","0","0","1"
"1738309975","1","1","0","1","0","0","0","1"
"1738309976","1","1","0","1","0","0","1","1"
"1738309977","0","0","0","1","0","0","1","1"
"1738309978","0","0","0","0","0","0","0","1"
"1738309979","0","0","0","1","0","0","0","1"
"1738309980","0","1","0","1","0","0","0","1"
"1738309981","0","1","0","1","0","0","0","1"
"1738309982","0","1","0","1","0","0","1","1"
"1738309983","0","0","0","1","0","0","0","1"
"1738309984","0","0","0","1","0","0","0","1"
"1738309985","0","1","0","1","0","0","0","1"
"1738309986","1","1","0","1","0","0","0","1"
"1738309987","1","1","0","1","0","0","1","1"
"1738309988","0","0","0","1","0","0","1","1"
"1738309989","0","0","0","0","0","0","0","1"
"1738309990","0","0","0","1","0","0","0","1"
"1738309991","0","1","0","1","0","0","0","1"
"1738309992","1","1","0","1","0","0","0","1"
"1738309993","0","1","0","1","0","0","1","1"
"1738309994","0","0","0","1","0","0","0","1"
"1738309995","0","0","0","1","0","0","0","1"
"1738309996","0","1","0","1","0","0","0","1"
"1738309997","1","1","0","1","0","0","0","1"
"1738309998","1","1","0","1","0","0","1","1"
"1738309999","0","1","0","1","0","0","1","1"
"1738310000","0","0","0","0","0","0","0","1"
"1738310001","0","0","0","1","0","0","0","1"
"1738310002","0","1","0","1","0","0","0","1"
"1738310003","1","1","0","1","0","0","0","1"
"1738310004","0","1","0","1","0","0","1","1"
"1738310005","0","0","0","1","0","0","0","1"
"1738310006","0","0","0","1","0","0","0","1"
"1738310007","0","1","0","1","0","0","0","1"
"1738310008","1","1","0","1","0","0","0","1"
"1738310009","1","1","0","1","0","0","1","1"
"1738310010","0","1","0","1","0","0","1","1"
"1738310011","0","0","0","0","0","0","0","1"
"1738310012","0","0","0","1","0","0","0","1"
"1738310013","0","1","0","1","0","0","0","1"
"1738310014","1","1","0","1","0","0","0","1"
"1738310015","0","1","0","1","0","0","1","1"
"1738310016","0","0","0","1","0","0","0","1"
"1738310017","0","0","0","1","0","0","0","1"
"1738310018","0","1","0","1","0","0","0","1"
"1738310019","1","1","0","1","0","0","0","1"
"1738310020","1","1","0","1","0","0","1","1"
"1738310021","0","1","0","1","0","0","1","1"
"1738310022","0","0","0","0","0","0","0","1"
"1738310023","0","0","0","1","0","0","0","1"
"1738310024","0","1","0","1","0","0","0","1"
"1738310025","1","1","0","1","0","0","0","1"
"1738310026","0","1","0","1","0","0","1","1"
"1738310027","0","0","0","1","0","0","0","1"
"2890570183","1","1","0","1","0","0","0","1"
"2890580004","0","1","0","1","0","0","0","1"
"2890580005","0","0","0","1","0","0","0","1"
"3293611118","0","0","0","0","0","0","0","1"
"3293611119","0","0","0","0","0","0","0","0"
"3293612405","0","0","1","0","0","0","1","0"
"3293612408","0","0","0","1","0","0","1","0"
"3293612409","0","0","0","1","0","0","0","1"
"3293612412","0","0","0","1","0","0","0","1"
"3293612413","0","0","1","1","0","0","1","1"
"3293612416","0","0","0","0","1","0","1","1"
"3293612417","0","0","0","0","1","1","0","0"
"3293612421","0","0","1","0","1","1","1","0"
"3293612424","0","0","0","1","0","1","1","0"
"3293612425","0","0","0","1","0","0","0","1"
"3293612429","0","0","1","1","0","0","1","1"
"3293612432","0","0","1","1","1","0","1","1"
"3293612433","0","0","0","0","1","0","0","0"
"3293612434","0","0","0","0","1","1","0","0"
"3293612437","0","0","1","0","1","1","1","0"
"3293612440","0","0","1","0","0","1","1","0"
"3293612441","0","0","0","1","0","0","0","1"
"3293612445","0","0","1","1","0","0","0","1"
"3293612446","0","0","1","1","0","0","1","1"
"3293612447","0","0","1","1","0","0","1","1"
"3293612448","0","0","1","1","1","0","1","1"
"3293612449","0","0","0","0","1","0","0","0"
"3293612450","0","0","0","0","1","1","0","0"
"3293612453","0","0","1","0","1","1","0","0"
"3293612454","0","0","1","0","1","1","1","0"
"3293612455","0","0","1","0","1","1","1","0"
"3293612456","0","0","1","0","0","1","1","0"
"3293612457","0","0","0","1","0","0","1","1"
"3293612458","0","0","0","1","0","0","0","1"
"3293612461","0","0","1","1","0","0","0","1"
"3293612462","0","0","1","1","0","0","1","1"
"3293612465","0","0","0","0","1","0","1","1"
"3293612466","0","0","0","0","1","1","0","0"
"3399144056","0","0","0","0","1","1","0","0"
